wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,defects
3.0,1.0,0.0,10.0,18.0,3.0,1.0,9.0,1.0,1.1,106.0,0.0,0.0,0.0,0.444444444,0.0,0.0,32.66666667,1.0,0.6667,0
5.0,2.0,0.0,4.0,13.0,0.0,1.0,4.0,4.0,0.625,76.0,1.0,1.0,0.7,0.5,0.0,0.0,13.4,1.0,0.6,0
1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0
8.0,1.0,9.0,13.0,20.0,12.0,9.0,4.0,8.0,0.8,101.0,0.2,1.0,0.0,0.40625,0.0,0.0,11.0,1.0,0.875,0
9.0,3.0,0.0,5.0,26.0,16.0,0.0,5.0,7.0,0.75,185.0,1.0,0.0,0.8,0.388888889,0.0,0.0,19.0,2.0,1.0,1
3.0,2.0,5.0,7.0,4.0,1.0,6.0,1.0,2.0,0.5,16.0,1.0,0.0,0.75,0.555555556,0.0,0.0,4.0,1.0,0.6667,0
20.0,1.0,0.0,4.0,40.0,130.0,0.0,4.0,18.0,0.736842105,345.0,1.0,1.0,0.0,0.284210526,0.0,0.0,15.9,3.0,1.15,1
13.0,1.0,0.0,7.0,28.0,20.0,2.0,5.0,12.0,0.80952381,183.0,1.0,2.0,0.0,0.3,0.0,0.0,12.53846154,7.0,1.3846,0
9.0,1.0,0.0,5.0,19.0,8.0,4.0,1.0,9.0,0.53125,119.0,1.0,0.0,0.0,0.518518519,0.0,0.0,11.77777778,3.0,1.4444,0
7.0,5.0,0.0,9.0,25.0,0.0,6.0,3.0,7.0,0.666666667,255.0,0.0,0.0,0.863636364,0.342857143,2.0,5.0,34.85714286,9.0,3.1429,0
9.0,6.0,0.0,5.0,17.0,26.0,0.0,5.0,6.0,0.833333333,71.0,0.0,0.0,0.949367089,0.333333333,1.0,4.0,6.555555556,3.0,1.1111,0
3.0,2.0,0.0,19.0,10.0,3.0,14.0,5.0,3.0,2.0,38.0,0.0,0.0,0.923076923,0.583333333,0.0,0.0,11.66666667,1.0,0.3333,0
1.0,1.0,0.0,10.0,1.0,0.0,8.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
9.0,1.0,0.0,3.0,12.0,20.0,1.0,2.0,8.0,0.8125,54.0,1.0,3.0,0.0,0.375,0.0,0.0,4.555555556,1.0,0.7778,0
19.0,4.0,0.0,7.0,40.0,129.0,0.0,7.0,16.0,0.936507937,252.0,0.5,0.0,0.727272727,0.381578947,2.0,3.0,11.52631579,6.0,1.3158,0
10.0,4.0,2.0,13.0,26.0,0.0,7.0,7.0,9.0,0.111111111,110.0,1.0,1.0,0.795454545,0.26,1.0,1.0,9.9,3.0,1.6,0
3.0,2.0,0.0,2.0,5.0,0.0,1.0,1.0,3.0,0.0,34.0,1.0,1.0,0.818181818,0.5,1.0,2.0,10.0,1.0,0.6667,0
20.0,1.0,0.0,7.0,79.0,136.0,5.0,5.0,10.0,0.897506925,835.0,1.0,1.0,0.0,0.19375,0.0,0.0,39.8,10.0,1.95,0
6.0,1.0,0.0,8.0,6.0,15.0,7.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.444444444,0.0,0.0,0.0,1.0,1.0,0
3.0,4.0,0.0,5.0,11.0,1.0,1.0,4.0,1.0,0.5,41.0,1.0,1.0,0.971428571,0.75,1.0,2.0,12.33333333,3.0,1.0,1
5.0,2.0,0.0,7.0,14.0,6.0,0.0,7.0,4.0,0.625,70.0,1.0,0.0,0.692307692,0.8,0.0,0.0,12.6,4.0,1.4,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
11.0,2.0,0.0,7.0,26.0,0.0,5.0,2.0,11.0,0.58,181.0,1.0,0.0,0.529411765,0.409090909,0.0,0.0,15.0,1.0,0.7273,0
3.0,4.0,0.0,5.0,15.0,3.0,0.0,5.0,2.0,2.0,51.0,0.0,0.0,0.978494624,0.666666667,1.0,1.0,16.0,2.0,1.0,0
3.0,2.0,0.0,5.0,7.0,1.0,1.0,4.0,3.0,0.5,29.0,1.0,0.0,0.818181818,0.666666667,0.0,0.0,8.333333333,1.0,0.6667,0
16.0,3.0,0.0,15.0,65.0,76.0,0.0,15.0,13.0,0.92,483.0,1.0,0.0,0.725490196,0.311111111,0.0,0.0,28.25,9.0,1.5625,1
4.0,4.0,8.0,12.0,5.0,0.0,8.0,4.0,3.0,0.333333333,18.0,1.0,1.0,0.921052632,0.4375,0.0,0.0,3.25,1.0,0.75,0
15.0,1.0,0.0,11.0,65.0,75.0,0.0,11.0,11.0,0.693877551,443.0,1.0,0.0,0.0,0.295238095,0.0,0.0,28.06666667,5.0,1.6,0
11.0,3.0,0.0,3.0,24.0,17.0,0.0,3.0,10.0,0.671428571,309.0,1.0,0.0,0.787234043,0.545454545,0.0,0.0,26.45454545,11.0,1.9091,0
2.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,0.947368421,0.75,1.0,1.0,2.5,1.0,0.5,0
15.0,3.0,0.0,9.0,41.0,0.0,0.0,9.0,15.0,0.678571429,204.0,1.0,1.0,0.725490196,0.225,1.0,2.0,12.33333333,2.0,1.5333,0
14.0,4.0,3.0,11.0,29.0,85.0,3.0,8.0,11.0,0.576923077,108.0,1.0,1.0,0.759259259,0.321428571,0.0,0.0,6.571428571,4.0,1.2857,0
27.0,3.0,0.0,8.0,101.0,157.0,5.0,3.0,15.0,0.824786325,1286.0,0.888888889,1.0,0.294117647,0.183760684,1.0,7.0,45.62962963,4.0,1.1111,1
5.0,4.0,0.0,8.0,23.0,4.0,4.0,8.0,5.0,0.75,249.0,1.0,0.0,0.927272727,0.8,2.0,2.0,48.2,1.0,0.8,0
3.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,1.5,4.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,0
4.0,5.0,0.0,5.0,19.0,6.0,0.0,5.0,4.0,2.0,57.0,0.0,0.0,0.978494624,0.625,2.0,4.0,13.25,2.0,1.0,0
6.0,1.0,0.0,2.0,11.0,3.0,1.0,1.0,4.0,0.6,53.0,1.0,0.0,0.0,0.666666667,0.0,0.0,7.5,1.0,0.8333,0
55.0,3.0,8.0,20.0,106.0,1313.0,8.0,12.0,9.0,0.956552707,1133.0,1.0,2.0,0.406593407,0.195454545,0.0,0.0,19.12727273,10.0,1.8545,0
3.0,2.0,0.0,4.0,19.0,3.0,0.0,4.0,2.0,2.0,136.0,0.0,0.0,0.8,0.666666667,0.0,0.0,44.33333333,2.0,1.0,0
8.0,1.0,0.0,4.0,22.0,0.0,0.0,4.0,6.0,0.428571429,169.0,1.0,0.0,0.0,0.625,0.0,0.0,19.875,7.0,1.625,0
11.0,2.0,0.0,1.0,23.0,39.0,1.0,0.0,10.0,0.483333333,136.0,1.0,0.0,0.454545455,0.348484848,1.0,1.0,10.81818182,1.0,0.5455,0
10.0,1.0,0.0,10.0,29.0,43.0,7.0,3.0,8.0,0.833333333,91.0,0.5,1.0,0.0,0.2,0.0,0.0,7.9,3.0,1.2,0
1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0
3.0,2.0,1.0,12.0,22.0,3.0,2.0,10.0,2.0,1.5,72.0,0.0,0.0,0.866666667,1.0,0.0,0.0,22.66666667,1.0,0.6667,0
9.0,1.0,0.0,32.0,36.0,36.0,32.0,0.0,7.0,1.104166667,281.0,0.833333333,0.0,0.0,0.25,0.0,0.0,29.55555556,11.0,3.0,0
7.0,1.0,0.0,24.0,8.0,3.0,24.0,0.0,7.0,0.666666667,43.0,1.0,0.0,0.0,0.714285714,0.0,0.0,4.714285714,1.0,0.8571,0
9.0,1.0,1.0,4.0,19.0,30.0,1.0,3.0,7.0,0.5,130.0,1.0,0.0,0.0,0.666666667,0.0,0.0,13.33333333,4.0,1.2222,0
63.0,1.0,2.0,61.0,144.0,1603.0,51.0,10.0,31.0,0.874288425,2303.0,1.0,2.0,0.0,0.213709677,0.0,0.0,35.01587302,35.0,3.2381,1
6.0,3.0,2.0,20.0,13.0,7.0,17.0,3.0,3.0,0.4,56.0,1.0,1.0,0.733333333,0.433333333,1.0,4.0,8.0,1.0,0.6667,0
2.0,1.0,0.0,6.0,2.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,0
22.0,3.0,0.0,5.0,47.0,159.0,0.0,5.0,19.0,0.904761905,365.0,1.0,1.0,0.649122807,0.361904762,2.0,2.0,14.81818182,9.0,1.3636,0
17.0,5.0,0.0,9.0,34.0,118.0,2.0,7.0,17.0,0.975,137.0,0.5,1.0,0.905882353,0.270588235,3.0,5.0,6.470588235,2.0,1.0588,1
12.0,3.0,0.0,15.0,99.0,18.0,1.0,14.0,8.0,0.826446281,804.0,1.0,1.0,0.770833333,0.277777778,2.0,2.0,65.08333333,18.0,4.8333,1
10.0,2.0,0.0,3.0,30.0,27.0,1.0,2.0,5.0,0.761904762,245.0,1.0,1.0,0.357142857,0.283333333,1.0,1.0,22.8,2.0,1.0,0
2.0,3.0,0.0,9.0,20.0,1.0,2.0,7.0,1.0,2.0,128.0,0.0,0.0,0.987179487,0.625,1.0,3.0,63.0,9.0,4.5,1
43.0,3.0,1.0,25.0,120.0,451.0,9.0,16.0,30.0,0.893374741,920.0,1.0,5.0,0.480519481,0.146825397,0.0,0.0,19.86046512,15.0,1.5116,1
22.0,2.0,28.0,37.0,44.0,183.0,31.0,6.0,7.0,0.523809524,271.0,1.0,1.0,0.3,0.198863636,1.0,2.0,11.22727273,3.0,1.3182,0
34.0,5.0,2.0,15.0,67.0,295.0,4.0,11.0,29.0,0.842975207,586.0,0.818181818,1.0,0.745901639,0.173202614,3.0,15.0,15.91176471,5.0,1.7941,1
