wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,defects
8.0,1.0,0.0,6.0,14.0,26.0,2.0,0.0,7.0,1.0,39.0,1.0,2.0,0.0,0.392857143,0.0,0.0,3.5,1.0,0.75,0
2.0,4.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,2.0,36.0,0.0,0.0,0.975609756,0.666666667,1.0,1.0,17.0,1.0,0.5,0
56.0,1.0,0.0,49.0,89.0,1310.0,40.0,0.0,56.0,0.956473829,583.0,1.0,24.0,0.0,0.1375,0.0,0.0,8.821428571,5.0,1.1964,0
4.0,5.0,1.0,0.0,8.0,6.0,0.0,0.0,4.0,2.0,20.0,0.0,0.0,1.0,0.666666667,0.0,0.0,4.0,0.0,0.0,0
3.0,2.0,0.0,3.0,8.0,3.0,3.0,0.0,3.0,1.5,73.0,0.0,0.0,0.9375,0.833333333,0.0,0.0,22.0,3.0,1.0,0
16.0,1.0,2.0,38.0,91.0,58.0,23.0,0.0,13.0,0.777777778,717.0,0.888888889,7.0,0.0,0.28,0.0,0.0,43.25,15.0,1.9375,1
3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
10.0,3.0,0.0,3.0,24.0,3.0,1.0,0.0,10.0,0.481481481,114.0,1.0,0.0,0.428571429,0.211111111,1.0,1.0,10.1,3.0,1.0,0
3.0,2.0,0.0,2.0,7.0,3.0,2.0,0.0,3.0,1.5,30.0,0.0,0.0,0.9375,0.833333333,0.0,0.0,8.666666667,3.0,1.0,0
3.0,2.0,0.0,5.0,8.0,3.0,0.0,0.0,2.0,1.0,27.0,1.0,0.0,0.976190476,1.0,0.0,0.0,7.666666667,1.0,0.3333,0
11.0,2.0,0.0,1.0,25.0,35.0,0.0,0.0,11.0,0.65,283.0,1.0,0.0,0.411764706,0.318181818,0.0,0.0,24.36363636,2.0,1.1818,0
4.0,2.0,0.0,12.0,22.0,2.0,1.0,0.0,4.0,0.583333333,1700.0,1.0,3.0,0.5,0.5,1.0,1.0,423.0,1.0,0.5,1
6.0,5.0,0.0,1.0,7.0,15.0,1.0,0.0,6.0,2.0,14.0,0.0,0.0,0.864864865,0.458333333,1.0,1.0,1.333333333,1.0,0.8333,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.0,3.0,0.0,8.0,33.0,3.0,1.0,0.0,1.0,0.4,177.0,1.0,0.0,0.827586207,0.4,1.0,6.0,28.33333333,1.0,0.8333,0
3.0,2.0,0.0,6.0,9.0,1.0,2.0,0.0,3.0,0.0,35.0,1.0,0.0,0.666666667,0.555555556,1.0,1.0,10.33333333,1.0,0.3333,0
14.0,1.0,0.0,3.0,15.0,91.0,3.0,0.0,14.0,2.0,17.0,0.0,0.0,0.0,0.285714286,0.0,0.0,0.214285714,1.0,0.9286,0
2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5,0
22.0,2.0,0.0,20.0,145.0,127.0,0.0,0.0,15.0,0.867346939,1226.0,0.857142857,1.0,0.545454545,0.306122449,2.0,2.0,54.09090909,10.0,2.3182,0
51.0,1.0,0.0,40.0,207.0,999.0,4.0,0.0,38.0,0.907222222,2594.0,1.0,9.0,0.0,0.092,0.0,0.0,49.15686275,41.0,4.1373,1
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0
2.0,4.0,0.0,4.0,6.0,1.0,1.0,0.0,2.0,2.0,33.0,0.0,0.0,0.975609756,0.666666667,1.0,1.0,15.5,1.0,0.5,0
33.0,2.0,0.0,9.0,93.0,378.0,0.0,0.0,26.0,0.900862069,995.0,1.0,2.0,0.392156863,0.1875,0.0,0.0,28.27272727,6.0,1.4848,0
6.0,1.0,0.0,4.0,12.0,3.0,3.0,0.0,6.0,0.2,40.0,1.0,0.0,0.0,0.583333333,0.0,0.0,5.5,1.0,0.8333,0
8.0,1.0,0.0,2.0,31.0,12.0,1.0,0.0,8.0,0.457142857,259.0,1.0,0.0,0.0,0.325,0.0,0.0,30.75,5.0,1.5,0
37.0,3.0,0.0,8.0,97.0,508.0,2.0,0.0,21.0,0.895424837,981.0,1.0,3.0,0.619565217,0.242063492,2.0,3.0,25.05405405,11.0,2.7568,0
8.0,1.0,1.0,11.0,21.0,10.0,5.0,0.0,4.0,0.734693878,108.0,0.714285714,2.0,0.0,0.428571429,0.0,0.0,11.625,2.0,0.75,1
4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.666666667,28.0,1.0,1.0,0.0,0.5,0.0,0.0,5.25,1.0,0.75,0
2.0,2.0,0.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,32.0,0.0,0.0,0.916666667,0.625,0.0,0.0,14.5,1.0,0.5,0
2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5,0
0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
