wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,defects
34.0,2.0,0.0,14.0,74.0,0.0,1.0,14.0,21.0,0.672727273,2890.0,1.0,2.0,0.179487179,0.160839161,1.0,3.0,83.55882353,2.0,1.0588,0
46.0,1.0,0.0,13.0,61.0,833.0,11.0,2.0,46.0,0.903703704,579.0,1.0,1.0,0.0,0.220496894,0.0,0.0,11.19565217,12.0,1.6522,0
4.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
4.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
41.0,2.0,0.0,11.0,75.0,280.0,2.0,9.0,35.0,0.903947368,1225.0,1.0,10.0,0.487179487,0.306620209,1.0,7.0,28.41463415,3.0,1.1951,0
17.0,1.0,1.0,0.0,37.0,136.0,0.0,0.0,16.0,2.0,254.0,0.0,0.0,0.0,0.308823529,0.0,0.0,13.94117647,1.0,0.9412,0
2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
4.0,1.0,0.0,2.0,4.0,6.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
3.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.5,14.0,0.0,0.0,0.0,0.5,0.0,0.0,3.333333333,1.0,0.3333,1
4.0,4.0,0.0,2.0,6.0,6.0,1.0,2.0,4.0,1.333333333,16.0,0.0,0.0,0.975308642,0.625,2.0,5.0,2.75,1.0,0.5,0
9.0,1.0,4.0,8.0,11.0,20.0,6.0,2.0,0.0,0.825,77.0,1.0,3.0,0.0,0.518518519,0.0,0.0,7.0,1.0,0.8889,0
3.0,1.0,0.0,28.0,3.0,3.0,27.0,1.0,3.0,1.5,17.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,1.0,1.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
3.0,4.0,0.0,2.0,14.0,3.0,1.0,2.0,3.0,2.0,60.0,0.0,0.0,0.979166667,0.666666667,0.0,0.0,19.0,3.0,1.6667,0
7.0,4.0,0.0,3.0,10.0,21.0,0.0,3.0,7.0,2.0,39.0,0.0,0.0,0.931818182,0.571428571,1.0,6.0,4.571428571,1.0,0.8571,0
12.0,4.0,0.0,3.0,22.0,66.0,0.0,3.0,12.0,2.0,97.0,0.0,0.0,0.895238095,0.316666667,1.0,1.0,7.083333333,3.0,1.25,0
17.0,1.0,0.0,8.0,54.0,134.0,7.0,3.0,5.0,0.9375,867.0,0.0,1.0,0.0,0.2125,0.0,0.0,49.88235294,19.0,4.7059,0
32.0,3.0,7.0,16.0,77.0,236.0,8.0,11.0,14.0,0.650537634,1240.0,0.833333333,3.0,0.625,0.180555556,2.0,25.0,37.5625,11.0,2.3438,0
20.0,1.0,1.0,0.0,47.0,152.0,0.0,0.0,16.0,0.915789474,325.0,0.9,0.0,0.0,0.355263158,0.0,0.0,14.75,10.0,1.4,1
18.0,2.0,0.0,6.0,35.0,0.0,6.0,1.0,1.0,0.680672269,2128.0,0.142857143,1.0,0.734375,0.361111111,1.0,7.0,116.8333333,17.0,8.0,0
2.0,3.0,0.0,11.0,3.0,0.0,11.0,0.0,2.0,1.0,13.0,0.5,0.0,0.944444444,0.75,0.0,0.0,4.5,1.0,0.5,0
0.0,1.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10.0,2.0,0.0,7.0,29.0,37.0,1.0,6.0,6.0,0.698412698,228.0,1.0,3.0,0.363636364,0.263888889,0.0,0.0,21.1,1.0,0.7,0
0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
3.0,4.0,0.0,2.0,6.0,3.0,0.0,2.0,3.0,2.0,17.0,0.0,0.0,0.979166667,0.5,0.0,0.0,4.666666667,1.0,0.6667,0
3.0,1.0,0.0,10.0,13.0,0.0,5.0,5.0,2.0,0.166666667,167.0,1.0,2.0,0.0,0.5,0.0,0.0,53.66666667,1.0,0.3333,1
15.0,4.0,1.0,9.0,27.0,57.0,6.0,4.0,14.0,0.821428571,200.0,0.875,3.0,0.858695652,0.383333333,2.0,8.0,11.8,2.0,1.5333,0
2.0,2.0,0.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,8.0,0.0,0.0,0.888888889,0.75,0.0,0.0,3.0,1.0,0.5,0
9.0,4.0,0.0,2.0,12.0,36.0,0.0,2.0,9.0,2.0,50.0,0.0,0.0,0.921568627,0.555555556,0.0,0.0,4.555555556,1.0,0.8889,0
20.0,1.0,0.0,1.0,29.0,58.0,1.0,0.0,14.0,0.547368421,547.0,0.2,3.0,0.0,0.31,0.0,0.0,26.1,10.0,3.95,1
9.0,4.0,0.0,3.0,12.0,36.0,0.0,3.0,9.0,2.0,50.0,0.0,0.0,0.911111111,0.555555556,1.0,6.0,4.555555556,1.0,0.8889,0
1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0
4.0,1.0,0.0,2.0,4.0,6.0,1.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
1.0,4.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0
10.0,4.0,1.0,6.0,29.0,43.0,3.0,4.0,9.0,0.944444444,115.0,0.5,0.0,0.897727273,0.325,2.0,8.0,10.3,6.0,1.5,1
29.0,4.0,4.0,17.0,75.0,80.0,12.0,9.0,24.0,0.738095238,665.0,0.666666667,1.0,0.745283019,0.337931034,2.0,13.0,21.82758621,11.0,2.7931,1
26.0,1.0,0.0,0.0,26.0,325.0,0.0,0.0,26.0,2.0,26.0,0.0,0.0,0.0,0.487179487,0.0,0.0,0.0,1.0,1.0,0
6.0,3.0,2.0,9.0,21.0,15.0,7.0,3.0,6.0,1.2,88.0,0.0,0.0,0.915254237,0.333333333,1.0,4.0,13.5,2.0,1.1667,0
45.0,2.0,0.0,13.0,63.0,862.0,3.0,10.0,16.0,0.896780303,962.0,0.875,6.0,0.463414634,0.119298246,1.0,5.0,19.84444444,5.0,1.5556,1
36.0,1.0,0.0,0.0,69.0,246.0,0.0,0.0,35.0,0.804761905,436.0,1.0,6.0,0.0,0.125925926,0.0,0.0,10.94444444,2.0,1.1389,0
11.0,2.0,0.0,8.0,38.0,35.0,1.0,7.0,7.0,0.833333333,253.0,0.666666667,2.0,0.307692308,0.232323232,0.0,0.0,21.18181818,6.0,1.2727,1
6.0,3.0,1.0,3.0,21.0,3.0,2.0,2.0,4.0,0.9,192.0,0.5,0.0,0.947368421,0.611111111,3.0,3.0,30.33333333,3.0,1.3333,1
14.0,1.0,0.0,0.0,14.0,91.0,0.0,0.0,14.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
9.0,1.0,6.0,10.0,12.0,0.0,6.0,4.0,5.0,0.65,183.0,1.0,3.0,0.0,0.466666667,0.0,0.0,18.22222222,2.0,0.8889,0
11.0,4.0,0.0,3.0,14.0,55.0,0.0,3.0,11.0,2.0,61.0,0.0,0.0,0.891304348,0.545454545,1.0,4.0,4.545454545,1.0,0.9091,0
17.0,1.0,0.0,0.0,17.0,136.0,0.0,0.0,17.0,2.0,17.0,0.0,0.0,0.0,0.455882353,0.0,0.0,0.0,1.0,1.0,1
23.0,3.0,52.0,55.0,42.0,253.0,53.0,3.0,17.0,2.0,249.0,0.0,0.0,0.765957447,0.456521739,1.0,2.0,9.826086957,4.0,1.6087,0
2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
13.0,4.0,0.0,2.0,16.0,78.0,1.0,2.0,13.0,2.0,72.0,0.0,0.0,0.886792453,0.538461538,0.0,0.0,4.538461538,1.0,0.9231,0
20.0,1.0,0.0,10.0,38.0,62.0,5.0,5.0,13.0,0.708133971,601.0,0.636363636,4.0,0.0,0.233082707,0.0,0.0,28.5,11.0,2.65,0
6.0,1.0,0.0,2.0,11.0,0.0,2.0,0.0,6.0,0.844444444,608.0,0.0,0.0,0.0,0.458333333,0.0,0.0,98.83333333,8.0,2.5,0
10.0,1.0,0.0,22.0,10.0,45.0,20.0,2.0,10.0,1.111111111,51.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,1.0,0
22.0,1.0,1.0,8.0,49.0,41.0,6.0,2.0,9.0,0.843537415,596.0,0.857142857,1.0,0.0,0.227272727,0.0,0.0,25.77272727,11.0,2.4545,0
7.0,4.0,0.0,3.0,10.0,21.0,0.0,3.0,7.0,2.0,39.0,0.0,0.0,0.931818182,0.571428571,1.0,6.0,4.571428571,1.0,0.8571,0
7.0,1.0,0.0,1.0,9.0,13.0,1.0,0.0,6.0,1.083333333,720.0,1.0,0.0,0.0,0.25,0.0,0.0,100.1428571,11.0,3.5714,0
3.0,2.0,0.0,3.0,12.0,1.0,1.0,2.0,3.0,0.0,159.0,0.0,1.0,0.75,0.888888889,0.0,0.0,51.0,9.0,3.0,0
8.0,1.0,0.0,0.0,8.0,28.0,0.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
4.0,3.0,0.0,6.0,9.0,0.0,1.0,5.0,0.0,0.380952381,583.0,1.0,0.0,0.926829268,0.40625,1.0,3.0,143.0,1.0,0.75,1
18.0,1.0,0.0,6.0,18.0,153.0,4.0,2.0,18.0,2.0,18.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,1.0,0
35.0,4.0,0.0,3.0,43.0,595.0,0.0,3.0,35.0,2.0,200.0,0.0,0.0,0.734375,0.308571429,0.0,0.0,4.714285714,1.0,0.9714,0
14.0,1.0,0.0,2.0,14.0,91.0,1.0,1.0,14.0,2.0,14.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0
9.0,1.0,0.0,11.0,26.0,16.0,1.0,10.0,9.0,0.875,191.0,1.0,0.0,0.0,0.333333333,0.0,0.0,19.66666667,2.0,1.0,0
8.0,1.0,0.0,0.0,8.0,28.0,0.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.0,1.0,1.0,0
